Entry,Entry Name,Gene Names,Protein names,Organism,Length,Function [CC],Involvement in disease,search_keyword
Q13286,CLN3_HUMAN,CLN3 BTS,Battenin (Batten disease protein) (Protein CLN3),Homo sapiens (Human),438,"FUNCTION: Mediates microtubule-dependent, anterograde transport connecting the Golgi network, endosomes, autophagosomes, lysosomes and plasma membrane, and participates in several cellular processes such as regulation of lysosomal pH, lysosome protein degradation, receptor-mediated endocytosis, autophagy, transport of proteins and lipids from the TGN, apoptosis and synaptic transmission (PubMed:10924275, PubMed:15471887, PubMed:18317235, PubMed:18817525, PubMed:20850431, PubMed:22261744). Facilitates the proteins transport from trans-Golgi network (TGN)-to other membrane compartments such as transport of microdomain-associated proteins to the plasma membrane, IGF2R transport to the lysosome where it regulates the CTSD release leading to regulation of CTSD maturation and thereby APP intracellular processing (PubMed:10924275, PubMed:18817525). Moreover regulates CTSD activity in response to osmotic stress (PubMed:23840424, PubMed:28390177). Also binds galactosylceramide and transports it from the trans Golgi to the rafts, which may have immediate and downstream effects on cell survival by modulating ceramide synthesis (PubMed:18317235). At the plasma membrane, regulates actin-dependent events including filopodia formation, cell migration, and pinocytosis through ARF1-CDC42 pathway and also the cytoskeleton organization through interaction with MYH10 and fodrin leading to the regulation of the plasma membrane association of Na+, K+ ATPase complex (PubMed:20850431). Regulates synaptic transmission in the amygdala, hippocampus, and cerebellum through regulation of synaptic vesicles density and their proximity to active zones leading to modulation of short-term plasticity and age-dependent anxious behavior, learning and memory (By similarity). Regulates autophagic vacuoles (AVs) maturation by modulating the trafficking between endocytic and autophagolysosomal/lysosomal compartments, which involves vesicle fusion leading to regulation of degradation process (By similarity). Also participates in cellular homeostasis of compounds such as, water, ions, amino acids, proteins and lipids in several tissue namely in brain and kidney through regulation of their transport and synthesis (PubMed:17482562). {ECO:0000250|UniProtKB:Q61124, ECO:0000269|PubMed:10924275, ECO:0000269|PubMed:15471887, ECO:0000269|PubMed:17482562, ECO:0000269|PubMed:18317235, ECO:0000269|PubMed:18817525, ECO:0000269|PubMed:20850431, ECO:0000269|PubMed:22261744, ECO:0000269|PubMed:23840424, ECO:0000269|PubMed:28390177}.","DISEASE: Ceroid lipofuscinosis, neuronal, 3 (CLN3) [MIM:204200]: A form of neuronal ceroid lipofuscinosis. Neuronal ceroid lipofuscinoses are progressive neurodegenerative, lysosomal storage diseases characterized by intracellular accumulation of autofluorescent liposomal material, and clinically by seizures, dementia, visual loss, and/or cerebral atrophy. The hallmark of CLN3 is the ultrastructural pattern of lipopigment with a fingerprint profile, which can have 3 different appearances: pure within a lysosomal residual body; in conjunction with curvilinear or rectilinear profiles; and as a small component within large membrane-bound lysosomal vacuoles. The combination of fingerprint profiles within lysosomal vacuoles is a regular feature of blood lymphocytes from patients with neuronal ceroid lipofuscinosis type 3. {ECO:0000269|PubMed:10332042, ECO:0000269|PubMed:10924275, ECO:0000269|PubMed:14699076, ECO:0000269|PubMed:17482562, ECO:0000269|PubMed:21990111, ECO:0000269|PubMed:22261744, ECO:0000269|PubMed:9311735, ECO:0000269|PubMed:9490299}. Note=The disease is caused by variants affecting the gene represented in this entry.",Alzheimer
Q13492,PICAL_HUMAN,PICALM CALM,Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein),Homo sapiens (Human),652,"FUNCTION: Cytoplasmic adapter protein that plays a critical role in clathrin-mediated endocytosis which is important in processes such as internalization of cell receptors, synaptic transmission or removal of apoptotic cells. Recruits AP-2 and attaches clathrin triskelions to the cytoplasmic side of plasma membrane leading to clathrin-coated vesicles (CCVs) assembly (PubMed:10436022, PubMed:16262731, PubMed:27574975). Furthermore, regulates clathrin-coated vesicle size and maturation by directly sensing and driving membrane curvature (PubMed:25898166). In addition to binding to clathrin, mediates the endocytosis of small R-SNARES (Soluble NSF Attachment Protein REceptors) between plasma membranes and endosomes including VAMP2, VAMP3, VAMP4, VAMP7 or VAMP8 (PubMed:21808019, PubMed:22118466, PubMed:23741335). In turn, PICALM-dependent SNARE endocytosis is required for the formation and maturation of autophagic precursors (PubMed:25241929). Modulates thereby autophagy and the turnover of autophagy substrates such as MAPT/TAU or amyloid precursor protein cleaved C-terminal fragment (APP-CTF) (PubMed:24067654, PubMed:25241929). {ECO:0000269|PubMed:10436022, ECO:0000269|PubMed:16262731, ECO:0000269|PubMed:21808019, ECO:0000269|PubMed:22118466, ECO:0000269|PubMed:23741335, ECO:0000269|PubMed:24067654, ECO:0000269|PubMed:25241929, ECO:0000269|PubMed:25898166, ECO:0000269|PubMed:27574975}.",DISEASE: Note=A chromosomal aberration involving PICALM is found in diffuse histiocytic lymphomas. Translocation t(10;11)(p13;q14) with MLLT10. {ECO:0000269|PubMed:8643484}.,Alzheimer
Q13501,SQSTM_HUMAN,SQSTM1 ORCA OSIL,Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62) (p62),Homo sapiens (Human),440,"FUNCTION: Molecular adapter required for selective macroautophagy (aggrephagy) by acting as a bridge between polyubiquitinated proteins and autophagosomes (PubMed:15340068, PubMed:15953362, PubMed:16286508, PubMed:17580304, PubMed:20168092, PubMed:22017874, PubMed:22622177, PubMed:24128730, PubMed:28404643, PubMed:29343546, PubMed:29507397, PubMed:31857589, PubMed:33509017, PubMed:34471133, PubMed:34893540, PubMed:35831301, PubMed:37306101, PubMed:37802024). Promotes the recruitment of ubiquitinated cargo proteins to autophagosomes via multiple domains that bridge proteins and organelles in different steps (PubMed:16286508, PubMed:20168092, PubMed:22622177, PubMed:24128730, PubMed:28404643, PubMed:29343546, PubMed:29507397, PubMed:34893540, PubMed:37802024). SQSTM1 first mediates the assembly and removal of ubiquitinated proteins by undergoing liquid-liquid phase separation upon binding to ubiquitinated proteins via its UBA domain, leading to the formation of insoluble cytoplasmic inclusions, known as p62 bodies (PubMed:15911346, PubMed:20168092, PubMed:22017874, PubMed:24128730, PubMed:29343546, PubMed:29507397, PubMed:31857589, PubMed:37802024). SQSTM1 then interacts with ATG8 family proteins on autophagosomes via its LIR motif, leading to p62 body recruitment to autophagosomes, followed by autophagic clearance of ubiquitinated proteins (PubMed:16286508, PubMed:17580304, PubMed:20168092, PubMed:22622177, PubMed:24128730, PubMed:28404643, PubMed:37802024). SQSTM1 is itself degraded along with its ubiquitinated cargos (PubMed:16286508, PubMed:17580304, PubMed:37802024). Also required to recruit ubiquitinated proteins to PML bodies in the nucleus (PubMed:20168092). Also involved in autophagy of peroxisomes (pexophagy) in response to reactive oxygen species (ROS) by acting as a bridge between ubiquitinated PEX5 receptor and autophagosomes (PubMed:26344566). Acts as an activator of the NFE2L2/NRF2 pathway via interaction with KEAP1: interaction inactivates the BCR(KEAP1) complex by sequestering the complex in inclusion bodies, promoting nuclear accumulation of NFE2L2/NRF2 and subsequent expression of cytoprotective genes (PubMed:20452972, PubMed:28380357, PubMed:33393215, PubMed:37306101). Promotes relocalization of 'Lys-63'-linked ubiquitinated STING1 to autophagosomes (PubMed:29496741). Involved in endosome organization by retaining vesicles in the perinuclear cloud: following ubiquitination by RNF26, attracts specific vesicle-associated adapters, forming a molecular bridge that restrains cognate vesicles in the perinuclear region and organizes the endosomal pathway for efficient cargo transport (PubMed:27368102, PubMed:33472082). Sequesters tensin TNS2 into cytoplasmic puncta, promoting TNS2 ubiquitination and proteasomal degradation (PubMed:25101860). May regulate the activation of NFKB1 by TNF-alpha, nerve growth factor (NGF) and interleukin-1 (PubMed:10356400, PubMed:10747026, PubMed:11244088, PubMed:12471037, PubMed:16079148, PubMed:19931284). May play a role in titin/TTN downstream signaling in muscle cells (PubMed:15802564). Adapter that mediates the interaction between TRAF6 and CYLD (By similarity). {ECO:0000250|UniProtKB:Q64337, ECO:0000269|PubMed:10356400, ECO:0000269|PubMed:10747026, ECO:0000269|PubMed:11244088, ECO:0000269|PubMed:12471037, ECO:0000269|PubMed:15340068, ECO:0000269|PubMed:15802564, ECO:0000269|PubMed:15911346, ECO:0000269|PubMed:15953362, ECO:0000269|PubMed:16079148, ECO:0000269|PubMed:16286508, ECO:0000269|PubMed:17580304, ECO:0000269|PubMed:19931284, ECO:0000269|PubMed:20168092, ECO:0000269|PubMed:20452972, ECO:0000269|PubMed:22017874, ECO:0000269|PubMed:22622177, ECO:0000269|PubMed:24128730, ECO:0000269|PubMed:25101860, ECO:0000269|PubMed:26344566, ECO:0000269|PubMed:27368102, ECO:0000269|PubMed:28380357, ECO:0000269|PubMed:28404643, ECO:0000269|PubMed:29343546, ECO:0000269|PubMed:29496741, ECO:0000269|PubMed:29507397, ECO:0000269|PubMed:31857589, ECO:0000269|PubMed:33393215, ECO:0000269|PubMed:33472082, ECO:0000269|PubMed:33509017, ECO:0000269|PubMed:34471133, ECO:0000269|PubMed:34893540, ECO:0000269|PubMed:35831301, ECO:0000269|PubMed:37306101, ECO:0000269|PubMed:37802024}.","DISEASE: Paget disease of bone 3 (PDB3) [MIM:167250]: A disorder of bone remodeling characterized by increased bone turnover affecting one or more sites throughout the skeleton, primarily the axial skeleton. Osteoclastic overactivity followed by compensatory osteoblastic activity leads to a structurally disorganized mosaic of bone (woven bone), which is mechanically weaker, larger, less compact, more vascular, and more susceptible to fracture than normal adult lamellar bone. {ECO:0000269|PubMed:11992264, ECO:0000269|PubMed:12374763, ECO:0000269|PubMed:14584883, ECO:0000269|PubMed:15125799, ECO:0000269|PubMed:15146436, ECO:0000269|PubMed:15176995, ECO:0000269|PubMed:15207768, ECO:0000269|PubMed:19931284, ECO:0000269|PubMed:29507397}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=In a cell model for Huntington disease (HD), appears to form a shell surrounding aggregates of mutant HTT that may protect cells from apoptosis, possibly by recruiting autophagosomal components to the polyubiquitinated protein aggregates. {ECO:0000269|PubMed:16286508}.; DISEASE: Frontotemporal dementia and/or amyotrophic lateral sclerosis 3 (FTDALS3) [MIM:616437]: A neurodegenerative disorder characterized by frontotemporal dementia and/or amyotrophic lateral sclerosis in affected individuals. There is high intrafamilial variation. Frontotemporal dementia is characterized by frontal and temporal lobe atrophy associated with neuronal loss, gliosis, and dementia. Patients exhibit progressive changes in social, behavioral, and/or language function. Amyotrophic lateral sclerosis is characterized by the death of motor neurons in the brain, brainstem, and spinal cord, resulting in fatal paralysis. Some FTDALS3 patients may also develop Paget disease of bone. {ECO:0000269|PubMed:22084127, ECO:0000269|PubMed:24042580, ECO:0000269|PubMed:24899140, ECO:0000269|PubMed:25114083}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset (NADGP) [MIM:617145]: A neurodegenerative disorder characterized by gait abnormalities, ataxia, dysarthria, dystonia, vertical gaze palsy, and cognitive decline. Disease onset is in childhood or adolescence. NADGP transmission pattern is consistent with autosomal recessive inheritance. {ECO:0000269|PubMed:27545679}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Myopathy, distal, with rimmed vacuoles (DMRV) [MIM:617158]: An autosomal dominant myopathy with adult onset, characterized by muscle weakness of the distal upper and lower limbs, walking difficulties, and proximal weakness of the shoulder girdle muscles. Muscle biopsy shows rimmed vacuoles. {ECO:0000269|PubMed:26208961}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=A chromosomal aberration involving SQSTM1 is found in a form of acute lymphoblastic leukemia. Translocation t(5;9)(q35;q34) with NUP214. {ECO:0000269|PubMed:20851865}.",Alzheimer
Q13564,ULA1_HUMAN,NAE1 APPBP1 HPP1,"NEDD8-activating enzyme E1 regulatory subunit (Amyloid beta precursor protein-binding protein 1, 59 kDa) (APP-BP1) (Amyloid protein-binding protein 1) (Proto-oncogene protein 1)",Homo sapiens (Human),534,"FUNCTION: Regulatory subunit of the dimeric UBA3-NAE1 E1 enzyme. E1 activates NEDD8 by first adenylating its C-terminal glycine residue with ATP, thereafter linking this residue to the side chain of the catalytic cysteine, yielding a NEDD8-UBA3 thioester and free AMP. E1 finally transfers NEDD8 to the catalytic cysteine of UBE2M. Necessary for cell cycle progression through the S-M checkpoint. Overexpression of NAE1 causes apoptosis through deregulation of NEDD8 conjugation. The covalent attachment of NEDD8 to target proteins is known as 'neddylation' and the process is involved in the regulation of cell growth, viability and development. {ECO:0000269|PubMed:10207026, ECO:0000269|PubMed:10722740, ECO:0000269|PubMed:12740388, ECO:0000269|PubMed:36608681}.","DISEASE: Neurodevelopmental disorder with dysmorphic facies and ischiopubic hypoplasia (NEDFIH) [MIM:620210]: An autosomal recessive disorder characterized by moderate to severe global developmental delay, facial dysmorphism, and ischiopubic synchondrosis hypoplasia. Affected individuals show infection-triggered lymphopenia, and loss of developmental milestones associated with epileptic spasms. Diminished white matter volume, enlarged ventricles, and thin corpus callosum are visible on brain imaging. {ECO:0000269|PubMed:36608681}. Note=The disease may be caused by variants affecting the gene represented in this entry.",Alzheimer
Q14114,LRP8_HUMAN,LRP8 APOER2,Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2),Homo sapiens (Human),963,"FUNCTION: Cell surface receptor for Reelin (RELN) and apolipoprotein E (apoE)-containing ligands (PubMed:12899622, PubMed:12950167, PubMed:20223215, PubMed:30873003). LRP8 participates in transmitting the extracellular Reelin signal to intracellular signaling processes, by binding to DAB1 on its cytoplasmic tail (By similarity). Reelin acts via both the VLDL receptor (VLDLR) and LRP8 to regulate DAB1 tyrosine phosphorylation and microtubule function in neurons (By similarity). LRP8 has higher affinity for Reelin than VLDLR (By similarity). LRP8 is thus a key component of the Reelin pathway which governs neuronal layering of the forebrain during embryonic brain development (By similarity). Binds the endoplasmic reticulum resident receptor-associated protein (RAP) (By similarity). Binds dimers of beta 2-glycoprotein I and may be involved in the suppression of platelet aggregation in the vasculature (PubMed:12807892). Highly expressed in the initial segment of the epididymis, where it affects the functional expression of clusterin and phospholipid hydroperoxide glutathione peroxidase (PHGPx), two proteins required for sperm maturation (By similarity). May also function as an endocytic receptor (By similarity). Not required for endocytic uptake of SEPP1 in the kidney which is mediated by LRP2 (By similarity). Together with its ligand, apolipoprotein E (apoE), may indirectly play a role in the suppression of the innate immune response by controlling the survival of myeloid-derived suppressor cells (By similarity). {ECO:0000250|UniProtKB:Q924X6, ECO:0000269|PubMed:12807892, ECO:0000269|PubMed:12899622, ECO:0000269|PubMed:12950167, ECO:0000269|PubMed:20223215, ECO:0000269|PubMed:30873003}.; FUNCTION: (Microbial infection) Acts as a receptor for Semliki Forest virus. {ECO:0000269|PubMed:34929721}.",DISEASE: Myocardial infarction 1 (MCI1) [MIM:608446]: A condition defined by the irreversible necrosis of heart muscle secondary to prolonged ischemia. {ECO:0000269|PubMed:17847002}. Note=The disease is caused by variants affecting the gene represented in this entry.,Alzheimer
Q14192,FHL2_HUMAN,FHL2 DRAL SLIM3,Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3),Homo sapiens (Human),279,"FUNCTION: May function as a molecular transmitter linking various signaling pathways to transcriptional regulation. Negatively regulates the transcriptional repressor E4F1 and may function in cell growth. Inhibits the transcriptional activity of FOXO1 and its apoptotic function by enhancing the interaction of FOXO1 with SIRT1 and FOXO1 deacetylation. Negatively regulates the calcineurin/NFAT signaling pathway in cardiomyocytes (PubMed:28717008). {ECO:0000269|PubMed:15692560, ECO:0000269|PubMed:16652157, ECO:0000269|PubMed:18853468, ECO:0000269|PubMed:28717008}.",,Alzheimer
Q14B80,KCNC2_MOUSE,Kcnc2,Voltage-gated potassium channel KCNC2 (Potassium voltage-gated channel subfamily C member 2) (Shaw-like potassium channel) (Voltage-gated potassium channel Kv3.2),Mus musculus (Mouse),642,"FUNCTION: Voltage-gated potassium channel that mediates transmembrane potassium transport in excitable membranes, primarily in the brain. Contributes to the regulation of the fast action potential repolarization and in sustained high-frequency firing in neurons of the central nervous system (PubMed:10414303, PubMed:10561420, PubMed:10903572, PubMed:11124984, PubMed:11506885, PubMed:15317859, PubMed:15917463, PubMed:17761775, PubMed:21414897). Homotetramer channels mediate delayed-rectifier voltage-dependent potassium currents that activate rapidly at high-threshold voltages and inactivate slowly (PubMed:10414303, PubMed:10561420, PubMed:10903572, PubMed:15317859). Forms tetrameric channels through which potassium ions pass in accordance with their electrochemical gradient. The channel alternates between opened and closed conformations in response to the voltage difference across the membrane (By similarity). Can form functional homotetrameric and heterotetrameric channels that contain variable proportions of KCNC1, and possibly other family members as well; channel properties depend on the type of alpha subunits that are part of the channel (PubMed:10531438, PubMed:12000114). Channel properties may be modulated by either the association with ancillary subunits, such as KCNE1, KCNE2 and KCNE3 or indirectly by nitric oxide (NO) through a cGMP- and PKG-mediated signaling cascade, slowing channel activation and deactivation of delayed rectifier potassium channels (By similarity). Contributes to fire sustained trains of very brief action potentials at high frequency in thalamocortical and suprachiasmatic nucleus (SCN) neurons, in hippocampal and neocortical interneurons and in retinal ganglion cells (PubMed:10561420, PubMed:10903572, PubMed:11506885, PubMed:17761775). Sustained maximal action potential firing frequency in inhibitory hippocampal interneurons is negatively modulated by histamine H2 receptor activation in a cAMP- and protein kinase (PKA) phosphorylation-dependent manner (PubMed:10903572). Plays a role in maintaining the fidelity of synaptic transmission in neocortical GABAergic interneurons by generating action potential (AP) repolarization at nerve terminals, thus reducing spike-evoked calcium influx and GABA neurotransmitter release (PubMed:15917463). Required for long-range synchronization of gamma oscillations over distance in the neocortex (PubMed:22539821). Contributes to the modulation of the circadian rhythm of spontaneous action potential firing in suprachiasmatic nucleus (SCN) neurons in a light-dependent manner (PubMed:21414897). {ECO:0000250|UniProtKB:P22462, ECO:0000269|PubMed:10531438, ECO:0000269|PubMed:10561420, ECO:0000269|PubMed:10903572, ECO:0000269|PubMed:11124984, ECO:0000269|PubMed:12000114, ECO:0000269|PubMed:15317859, ECO:0000269|PubMed:15917463, ECO:0000269|PubMed:17761775, ECO:0000269|PubMed:21414897, ECO:0000269|PubMed:22539821, ECO:0000305|PubMed:10414303, ECO:0000305|PubMed:11506885}.",,Alzheimer
Q15011,HERP1_HUMAN,HERPUD1 HERP KIAA0025 MIF1,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1),Homo sapiens (Human),391,"FUNCTION: Component of the endoplasmic reticulum quality control (ERQC) system also called ER-associated degradation (ERAD) involved in ubiquitin-dependent degradation of misfolded endoplasmic reticulum proteins (PubMed:16289116, PubMed:28827405). Could enhance presenilin-mediated amyloid-beta protein 40 generation. Binds to ubiquilins and this interaction is required for efficient degradation of CD3D via the ERAD pathway (PubMed:18307982). {ECO:0000269|PubMed:16289116, ECO:0000269|PubMed:18307982, ECO:0000269|PubMed:28827405}.",,Alzheimer
Q15078,CD5R1_HUMAN,CDK5R1 CDK5R NCK5A,"Cyclin-dependent kinase 5 activator 1 (CDK5 activator 1) (Cyclin-dependent kinase 5 regulatory subunit 1) (TPKII regulatory subunit) [Cleaved into: Cyclin-dependent kinase 5 activator 1, p35 (p35); Cyclin-dependent kinase 5 activator 1, p25 (p25) (Tau protein kinase II 23 kDa subunit) (p23)]",Homo sapiens (Human),307,FUNCTION: p35 is a neuron specific activator of CDK5. The complex p35/CDK5 is required for neurite outgrowth and cortical lamination. Involved in dendritic spine morphogenesis by mediating the EFNA1-EPHA4 signaling. Activator of TPKII. The complex p35/CDK5 participates in the regulation of the circadian clock by modulating the function of CLOCK protein: phosphorylates CLOCK at 'Thr-451' and 'Thr-461' and regulates the transcriptional activity of the CLOCK-BMAL1 heterodimer in association with altered stability and subcellular distribution. {ECO:0000269|PubMed:24235147}.,,Alzheimer
Q15109,RAGE_HUMAN,AGER RAGE,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Homo sapiens (Human),404,"FUNCTION: Cell surface pattern recognition receptor that senses endogenous stress signals with a broad ligand repertoire including advanced glycation end products, S100 proteins, high-mobility group box 1 protein/HMGB1, amyloid beta/APP oligomers, nucleic acids, histones, phospholipids and glycosaminoglycans (PubMed:27572515, PubMed:28515150, PubMed:34743181, PubMed:35974093, PubMed:24081950). Advanced glycosylation end products are nonenzymatically glycosylated proteins which accumulate in vascular tissue in aging and at an accelerated rate in diabetes (PubMed:21565706). These ligands accumulate at inflammatory sites during the pathogenesis of various diseases including diabetes, vascular complications, neurodegenerative disorders and cancers, and RAGE transduces their binding into pro-inflammatory responses. Upon ligand binding, uses TIRAP and MYD88 as adapters to transduce the signal ultimately leading to the induction of inflammatory cytokines IL6, IL8 and TNFalpha through activation of NF-kappa-B (PubMed:21829704, PubMed:33436632). Interaction with S100A12 on endothelium, mononuclear phagocytes, and lymphocytes triggers cellular activation, with generation of key pro-inflammatory mediators (PubMed:19386136). Interaction with S100B after myocardial infarction may play a role in myocyte apoptosis by activating ERK1/2 and p53/TP53 signaling (By similarity). Contributes to the translocation of amyloid-beta peptide (ABPP) across the cell membrane from the extracellular to the intracellular space in cortical neurons (PubMed:19906677). ABPP-initiated RAGE signaling, especially stimulation of p38 mitogen-activated protein kinase (MAPK), has the capacity to drive a transport system delivering ABPP as a complex with RAGE to the intraneuronal space. Participates in endothelial albumin transcytosis together with HMGB1 through the RAGE/SRC/Caveolin-1 pathway, leading to endothelial hyperpermeability (PubMed:27572515). Mediates the loading of HMGB1 in extracellular vesicles (EVs) that shuttle HMGB1 to hepatocytes by transferrin-mediated endocytosis and subsequently promote hepatocyte pyroptosis by activating the NLRP3 inflammasome (PubMed:34743181). Binds to DNA and promotes extracellular hypomethylated DNA (CpG DNA) uptake by cells via the endosomal route to activate inflammatory responses (PubMed:24081950, PubMed:28515150). Mediates phagocytosis by non-professional phagocytes (NPP) and this is enhanced by binding to ligands including RNA, DNA, HMGB1 and histones (PubMed:35974093). Promotes NPP-mediated phagocytosis of Saccharomyces cerevisiae spores by binding to RNA attached to the spore wall (PubMed:35974093). Also promotes NPP-mediated phagocytosis of apoptotic cells (PubMed:35974093). Following DNA damage, recruited to DNA double-strand break sites where it colocalizes with the MRN repair complex via interaction with double-strand break repair protein MRE11 (By similarity). Enhances the endonuclease activity of MRE11, promoting the end resection of damaged DNA (By similarity). Promotes DNA damage repair in trophoblasts which enhances trophoblast invasion and contributes to placental development and maintenance (PubMed:33918759). Protects cells from DNA replication stress by localizing to damaged replication forks where it stabilizes the MCM2-7 complex and promotes faithful progression of the replication fork (PubMed:36807739). Mediates the production of reactive oxygen species (ROS) in human endothelial cells (PubMed:25401185). {ECO:0000250|UniProtKB:Q62151, ECO:0000269|PubMed:19906677, ECO:0000269|PubMed:20943659, ECO:0000269|PubMed:21559403, ECO:0000269|PubMed:21565706, ECO:0000269|PubMed:21829704, ECO:0000269|PubMed:24081950, ECO:0000269|PubMed:25401185, ECO:0000269|PubMed:27572515, ECO:0000269|PubMed:28515150, ECO:0000269|PubMed:33436632, ECO:0000269|PubMed:33918759, ECO:0000269|PubMed:34743181, ECO:0000269|PubMed:35974093, ECO:0000269|PubMed:36807739}.",,Alzheimer
Q15392,DHC24_HUMAN,DHCR24 KIAA0018,Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1),Homo sapiens (Human),516,"FUNCTION: Catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis (PubMed:11519011, PubMed:21671375, PubMed:22178193, PubMed:25637936). In addition to its cholesterol-synthesizing activity, can protect cells from oxidative stress by reducing caspase 3 activity during apoptosis induced by oxidative stress (PubMed:11007892, PubMed:22010141). Also protects against amyloid-beta peptide-induced apoptosis (PubMed:11007892). {ECO:0000269|PubMed:11007892, ECO:0000269|PubMed:11519011, ECO:0000269|PubMed:21671375, ECO:0000269|PubMed:22010141, ECO:0000269|PubMed:22178193, ECO:0000269|PubMed:25637936}.","DISEASE: Desmosterolosis (DESMOS) [MIM:602398]: Rare autosomal recessive disorder characterized by multiple congenital anomalies and elevated levels of the cholesterol precursor desmosterol in plasma, tissue, and cultured cells. {ECO:0000269|PubMed:11519011, ECO:0000269|PubMed:21671375}. Note=The disease is caused by variants affecting the gene represented in this entry.",Alzheimer
Q16143,SYUB_HUMAN,SNCB,Beta-synuclein,Homo sapiens (Human),134,FUNCTION: Non-amyloid component of senile plaques found in Alzheimer disease. Could act as a regulator of SNCA aggregation process. Protects neurons from staurosporine and 6-hydroxy dopamine (6OHDA)-stimulated caspase activation in a p53/TP53-dependent manner. Contributes to restore the SNCA anti-apoptotic function abolished by 6OHDA. Not found in the Lewy bodies associated with Parkinson disease.,,Alzheimer
Q16555,DPYL2_HUMAN,DPYSL2 CRMP2 ULIP2,Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2),Homo sapiens (Human),572,"FUNCTION: Plays a role in neuronal development and polarity, as well as in axon growth and guidance, neuronal growth cone collapse and cell migration. Necessary for signaling by class 3 semaphorins and subsequent remodeling of the cytoskeleton. May play a role in endocytosis. {ECO:0000269|PubMed:11477421, ECO:0000269|PubMed:15466863, ECO:0000269|PubMed:20801876}.",,Alzheimer
Q16643,DREB_HUMAN,DBN1 D0S117E,Drebrin (Developmentally-regulated brain protein),Homo sapiens (Human),649,"FUNCTION: Actin cytoskeleton-organizing protein that plays a role in the formation of cell projections (PubMed:20215400). Required for actin polymerization at immunological synapses (IS) and for the recruitment of the chemokine receptor CXCR4 to IS (PubMed:20215400). Plays a role in dendritic spine morphogenesis and organization, including the localization of the dopamine receptor DRD1 to the dendritic spines (By similarity). Involved in memory-related synaptic plasticity in the hippocampus (By similarity). {ECO:0000250|UniProtKB:Q9QXS6, ECO:0000269|PubMed:20215400}.","DISEASE: Alzheimer disease (AD) [MIM:104300]: Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:8838578}. Note=The protein represented in this entry may be involved in disease pathogenesis. In brains of patients with AD, decreased expression and absence from dystrophic neurites in amyloid plaques. Disappearance of debrin from the hippocampus may contribute to the pathogenesis of memory disturbance in AD. {ECO:0000269|PubMed:8838578}.",Alzheimer
Q16891,MIC60_HUMAN,IMMT HMP MIC60 MINOS2 PIG4 PIG52,MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89),Homo sapiens (Human),758,"FUNCTION: Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane (PubMed:22114354, PubMed:25781180, PubMed:32567732, PubMed:33130824). Plays an important role in the maintenance of the MICOS complex stability and the mitochondrial cristae morphology (PubMed:22114354, PubMed:25781180, PubMed:32567732, PubMed:33130824). {ECO:0000269|PubMed:22114354, ECO:0000269|PubMed:25781180, ECO:0000269|PubMed:32567732, ECO:0000269|PubMed:33130824}.",,Alzheimer
